Part #,Description,List Price,WWT Cost,Customer Price,Qty,Manufacturer,Vendor,Additional Description,Cust Product #,Lab Flag (Y/N),Contract Start Date (MM/DD/YYYY),Contract End Date (MM/DD/YYYY),Serial #,Vendor Quote #,Duration,Lead Time,Cost Type
BCH21,CABLE HOOK 1 5/16-IN 50 4-PAIR UTP,,$185.56 ,,4,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
040402R5820010F,,,$23.46 ,,1,CORNING OPTICAL COMMUNICATIONS,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
047202R5820010F,SC/UPC DUPLEX ZIPCORD 10FT,,$20.94 ,,1,CORNING OPTICAL COMMUNICATIONS,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
047202R5820025F,,,$23.32 ,,2,CORNING OPTICAL COMMUNICATIONS,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
F9TRL5N5NANM030,OS2 12 FIBER INTERCONNECT LSZH MPO FE,,$247.60 ,,1,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FAPH0412BLMPO,OPTICOM MPO FAP LOADED W/4 KEY-UP/KEY-DO,,$94.68 ,,2,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FC29N-12-10AS,SM 12 FIB LC DUPLEX ADAPTER CASSETTE,,$274.44 ,,2,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FMD1,DRAWER 1.75X19.85X15.33IN,,$155.68 ,,1,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
CFAPPBL1,FBR ADAPT PATCH PNL FMT24,,$15.27 ,,1,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FAP6WBUDSCZ,FAP 6-PACK DUPLEX SC CER,,$82.68 ,,1,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FAPB,FBR ADPT PNLS,,$3.04 ,,3,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
LCD10-14A-L,#10AWG W1/4 STUD 5/8 SPC,,$254.00 ,,1,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
LCD6-14A-L,TWO HOLE COMPRESSION CONN,,$173.84 ,,1,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
DPFP1,1-3/4X19 FILLER PANEL,,$11.84 ,,6,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
HTCT2-2-1,COPPER COMP H-TAP BRWN,,$5.90 ,,2,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
UTPSP15GRY,CAT6 PATCH CORD W/TX6 PLUS,,$8.16 ,,60,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
UTPSP5GRY,CAT 6 PATCH CORD 5 FT GREEN,,$6.03 ,,40,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
UTPSP3GRY,CAT 6 PATCH CORD 3 FT GREEN,,$5.62 ,,20,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
CPPL24WBLY,24 PORT MOD PP W/LBL,,$21.21 ,,3,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
CJH688TGGR,CAT6 TX-6 8P8W MOD GREEN W/ DC,,$7.10 ,,150,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
R2P,19IN EIA RACK ALUM BLACK,,$116.08 ,,1,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
PR2VD06,7FTX6IN DUAL SIDE VERT CBL MGR W/DOORS,,$629.28 ,,2,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
PRD6,VERT CBL MAN DOOR 6IN W,,$158.44 ,,4,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
RFAKIT,FAKE FLOOR ATTACHMENT KIT,,$11.10 ,,2,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
S1224-C,ENGLISH SCREW #12 24,,$11.50 ,,300,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
R2PPR2VWF,WATERFALL TROUGH FOR 2 POST RACK AND PAT,,$110.73 ,,1,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
PRSP5,PTCH RUN SPOOL 5X1.2IN,,$9.56 ,,10,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
WMPFSE,HORZ MGR FRONT ONLY 1RU 3.7IN D,,$27.40 ,,12,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
P08D10M,MIPDU 16AMP8 5-20R NEMA5-20P-3M BL EA,,$500.94 ,,1,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
WMPVSMK,VTR CBL MGT SIDE MOUNT BRKT KIT,,$10.16 ,,4,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
SP688-C,TX6 8P8C MODULAR PLUG,,$0.95 ,,300,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
T70BEI10,RACEWAY BASE,,$2.60 ,,20,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
T70CEI10,COVER,,$1.43 ,,20,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
T70EEEI,ENTRANCE END,,$15.73 ,,2,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
LD5EI10-A,RACEWAY P/FT,,$1.25 ,,450,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
DCF5EI-X,DROP CEILING FTG,,$1.09 ,,5,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
JB1DEI-A,1-PIECE JUNCTION BOX,,$4.12 ,,5,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
CBEI,SINGLE GANG BEZEL,,$1.64 ,,5,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
CHS2SEI-X,MINI COM INSR 2 PORT,,$1.42 ,,10,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
CHB2EI-X,M-CM INSR 2 PRT BLNK,,$0.66 ,,6,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
CMBBL-X,MINI COM BLNK 1 POS,,$0.17 ,,50,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
CMBEI-X,MINI COM BLNK 1 POS,,$0.17 ,,50,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
CLT50F-C20,LOOM TUBING,,$29.13 ,,1,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
GEE144F-A-C0,BLACK GROMMET EDGING 100FT,,$40.81 ,,1,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
JP75WP2-L20,3/4 JPRO 2 HOLE J HOOK,,$60.40 ,,100,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
SG300S-C,CABLE TIE 12.4IN STANDARD CROSS SECTION,,$22.29 ,,300,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
SG300S-C0,CABLE TIE 12.4IN STANDARD CROSS SECTION,,$23.91 ,,300,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
GB4B0612TPI-1,GROUNDING BUSBAR BICSI 4IN 1/4X4X12,,$53.05 ,,1,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
S100X150YAJ,LABEL 1X1.5IN POLY WHT,,$58.96 ,,2500,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
NO BID,,,$0.00 ,,0,General Brand ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
C261X035Y1J,LABEL LSR/INKJ .35X2.61IN POLY WHT 1000,,$94.80 ,,1000,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
P4Z348P,MULTIFUNCTION CLIP FOR DROP WIRE/FLANGE,,$0.51 ,,100,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
P4Z3412P,MULTIFUNCTION CLIP FOR DROP WIRE/FLANGE,,$0.53 ,,100,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
P4Z3416P,MULTIFUNCTION CLIP FOR DROP WIRE/FLANGE,,$0.55 ,,100,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
NO BID,,,$0.00 ,,0,General Brand ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
NO BID,,,$0.00 ,,0,General Brand ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
NO BID,,,$0.00 ,,0,General Brand ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
TBC362,3/16 X 2 TGGLE BLTS PHL/SLTTD MHRM HD S,,$22.32 ,,50,L H DOTTIE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
NO BID,,,$0.00 ,,0,General Brand ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
11715T74,,,$12.35 ,,10,MCMASTER-CARR SUPPLY COMPANY,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
98950A031,,,$10.31 ,,2,MCMASTER-CARR SUPPLY COMPANY,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
99904A103,,,$13.13 ,,6,MCMASTER-CARR SUPPLY COMPANY,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
95462A031,95462A031,,$11.42 ,,6,MIAMI MAGNET CO,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
90107A127,,,$10.48 ,,24,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
92147A031,,,$7.58 ,,12,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
3313N14,,,$47.96 ,,4,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
98023A035,,,$13.24 ,,1,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
91104A035,,,$14.73 ,,1,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
95462A533,,,$9.38 ,,2,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
7715T15,,,$0.42 ,,500,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
7715T15,,,$0.42 ,,500,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
7715T15,,,$0.42 ,,500,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
71695K26,,,$3.26 ,,4,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
71695K13,,,$3.76 ,,4,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
71695K119,,,$2.07 ,,2,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
7174K64,,,$22.45 ,,2,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
71695K23,,,$0.89 ,,2,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
71695K21,,,$2.44 ,,2,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
7126K1,,,$8.02 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
7150K77,,,$2.11 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
7150K71,,,$1.33 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
30075T114,,,$1.05 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
3115T81,,,$1.50 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
7126K2,,,$13.12 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
7150K78,,,$2.70 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
7150K72,,,$2.37 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
30075T16,,,$1.31 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
3115T77,,,$1.60 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
